Epoch,Train Loss,Val Loss,MSE Train,MSE Val
112,-0.6623947,3.6084079,0.0454192,0.0623146
113,-0.6438319,-0.8895980,0.0747931,0.0279185
114,-0.8656816,-1.0609833,0.0291922,0.0264711
115,-0.8381499,-0.9275122,0.0312032,0.0285838
116,-0.6455051,-0.5963641,0.0395282,0.0285688
117,-0.8673718,-1.0656565,0.0273163,0.0191508
118,-1.0159889,-1.0796726,0.0279222,0.0289701
119,-1.2867703,-1.4357054,0.0227684,0.0215276
120,-1.0819708,-0.8774360,0.0328922,0.0423110
121,-1.1655782,-1.2747926,0.0324870,0.0303674
122,-0.5412884,-0.6247902,0.0418481,0.1164309
123,-0.8814977,-0.7999983,0.0598030,0.0632284
124,-0.9631827,-1.0684634,0.0380515,0.0295594
125,-0.8504805,-1.0254332,0.0323427,0.0332310
126,-0.8709373,-1.0596029,0.0330256,0.0433431
127,-0.9480474,-1.1047232,0.0312627,0.0315988
128,-1.1407040,-1.1226813,0.0294930,0.0275867
129,-1.2559030,-1.3976053,0.0275769,0.0264972
130,-1.0304325,-1.1526703,0.0308511,0.0249708
131,-1.1501469,-0.9258450,0.0335391,0.0678584
132,-0.9889509,-0.9513419,0.0351200,0.0361631
133,-0.9158976,-1.0909897,0.0303337,0.0305122
134,-1.0674858,-0.8689802,0.0322063,0.0313401
135,-1.0090738,-1.0500231,0.0360041,0.0473793
136,-0.8457011,-0.9619114,0.0404532,0.0402915
137,-1.0725439,-1.0442486,0.0257176,0.0478900
138,-0.9362140,-1.0290377,0.0422273,0.0376577
139,-1.0083620,-1.0231774,0.0331543,0.0357858
140,-0.9515945,-0.9601810,0.0348175,0.0315317
141,-1.0503631,-0.9802759,0.0306366,0.0341967
142,-0.9181779,-1.0149498,0.0297020,0.0315725
143,-1.0019944,-1.1161617,0.0294393,0.0252138
144,-1.0029158,-1.0434463,0.0321823,0.0344648
145,-0.9070653,-1.1759427,0.0427393,0.0240954
146,-0.8523074,-0.9889400,0.0340731,0.0289278
147,-0.8896327,-1.1969921,0.0250164,0.0159566
148,-1.0079406,-1.0414999,0.0219147,0.0425210
149,-0.9782387,-1.0533972,0.0340349,0.0263185
150,-0.9865281,-1.1192480,0.0326212,0.0230162
151,-0.9518302,-1.0540853,0.0288124,0.0363431
152,1.8383941,-0.6103199,0.0433553,0.0335048
153,-1.0109510,-1.1559906,0.0293032,0.0300618
154,-0.9774679,-0.9722250,0.0353369,0.0468750
155,-0.8486294,-0.9608369,0.0430559,0.0524884
156,-0.9389258,-0.9499936,0.0457021,0.0420257
157,-0.9726413,-0.9149063,0.0269556,0.0582148
158,-0.7527192,-0.9193373,0.0313150,0.0412949
159,-0.8912497,-0.8477892,0.0406018,0.0490661
160,-0.8768316,-0.8794949,0.0423005,0.0407042
161,-0.9335559,-1.0189943,0.0324997,0.0321216
162,-0.8590380,-0.9090348,0.0347968,0.0363845
163,-0.6696718,-0.9409642,0.0368318,0.0405139
164,-0.9076598,-0.8170862,0.0455808,0.0606701
165,-0.6379853,-0.7822643,0.0561960,0.0591015
166,-0.7944396,-1.0595861,0.0410344,0.0333077
167,-0.7343823,-0.8257110,0.0380144,0.0540869
168,-0.8232496,-0.8457790,0.0457396,0.0402497
169,-0.7072960,-0.9800748,0.0423621,0.0381062
170,-0.7892017,-0.9889866,0.0486152,0.0420531
171,-0.5543620,-0.8786611,0.0437502,0.0463635
172,2.9872624,-0.8791759,0.0389874,0.0780300
173,-0.6550061,-0.8359739,0.0597663,0.0487405
174,-0.8713874,-0.8231330,0.0461660,0.0511133
175,-0.8487758,-0.9361633,0.0457736,0.0397461
176,-0.8485600,-0.8115948,0.0462873,0.0517655
177,-0.7413951,-0.7949827,0.0471712,0.0464553
178,-0.7555859,-0.9074436,0.0441707,0.0437432
179,-0.8928828,-1.0410632,0.0397567,0.0370755
180,-0.5900540,-0.8672385,0.0472205,0.0496545
181,-0.6541641,-0.6056783,0.0646340,0.1236415
182,-0.7289283,-0.9056126,0.0747431,0.0511492
183,-0.8073963,-0.8878893,0.0439066,0.0439682
184,-0.7661585,-0.8026471,0.0408396,0.0445523
185,-0.8036280,-0.9610358,0.0395658,0.0418287
186,7.2083924,-0.5371374,0.0648059,0.0522589
187,-0.7674819,-0.9361829,0.0475286,0.0404194
188,-0.6370381,-1.0359348,0.0434098,0.0364684
189,-0.7652685,-0.9058245,0.0382939,0.0393338
190,-0.8511905,-0.9585632,0.0469392,0.0445266
191,-0.8639919,-1.0556538,0.0459681,0.0374147
192,-0.7147013,-0.9431666,0.0436546,0.0454269
193,-0.9412494,-1.0133455,0.0365479,0.0351552
194,393.5587664,-0.4432484,0.1122052,0.2067811
195,-0.6206870,-0.8538381,0.1464034,0.1065289
196,-0.7538399,-0.7588283,0.0765343,0.0665836
197,-0.8022851,-0.7863633,0.0569025,0.0547688
198,-0.8992937,-0.9330374,0.0484289,0.0497985
199,-0.8817477,-0.8756679,0.0558926,0.0538504
200,-0.9613848,-0.9483902,0.0484178,0.0445694
using encoder from epoch 150
