Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,97.7361787,65.9450401,0.0519474,0.0454195
2,-1.3940648,61.4321650,0.0456494,0.0455194
3,-1.1717227,67.2794414,0.0425745,0.0423666
4,5.1276172,67.5550347,0.0545853,0.0438258
5,-0.6453642,63.4387717,0.0428037,0.0399937
6,2.5679447,64.4742675,0.0471967,0.1035838
7,4.4944316,72.8009470,0.0677744,0.0385872
8,12.3287882,61.3749429,0.0455900,0.0485566
9,-1.6389978,59.8818963,0.0482660,0.0489254
10,0.4874052,67.0993131,0.0415524,0.0397280
11,26.8536178,64.0322652,0.0485337,0.0770133
12,3179759.1114746,3.5231825,35.2516086,10.5256732
13,7.7838505,14.2089131,8.1784039,5.8198779
14,17.5181628,11.5413000,21.1519517,16.1762460
15,40.2847955,66.7531786,10.7991447,6.5423379
16,63.1399050,62.7037713,4.2367460,2.4295822
17,60.8690391,60.8354196,1.3749013,0.7388617
18,179.9632914,74.0784038,40.1081460,55.0796688
19,202.2737417,75.7483246,272.9920862,372.9715263
20,69.8777986,74.0393415,300.6334682,211.3692164
21,61.8796737,63.0807905,166.3929705,114.8809900
22,83.4234002,87.8524806,67.2463026,40.3267811
23,87.7958854,87.0597760,25.8997569,13.1070301
24,143.1917799,95.5976548,7.9861835,9.3351703
25,161.0998466,65.1717581,6.0809872,4.5500589
26,63.8712109,81.9972445,3.8783596,3.4323214
27,73.1065051,73.3017166,3.0887746,2.8927565
28,126.9203580,63.3680297,28.4075118,48.4063016
29,76.3723025,87.5467954,35.6349801,23.2390850
30,375972711.9596345,223.2380347,3626.9666341,4049.1778926
31,150.3435450,110.0478235,4046.1778292,4045.1351393
32,96.6451104,89.9841947,4050.6762675,4051.0427533
33,91.6713853,94.3121912,4048.8389815,4039.5413906
34,91.9063192,80.8545354,4029.8866182,4013.9322597
