Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,7288.0795952,7006.1782351,0.1010493,0.0763673
2,6984.0005055,6958.4664033,0.0713551,0.0716742
3,6943.5246602,6938.7901113,0.0683588,0.0671915
4,6922.0244706,6943.4505217,0.0641052,0.0633085
5,6901.1998251,6959.8303422,0.0618611,0.0633872
6,6860.5854811,6994.5635214,0.0617630,0.0640717
7,6774.6631690,7052.2680714,0.0619915,0.0637540
8,6620.2552418,7228.8209851,0.0622600,0.0649279
9,6375.0581239,7462.5309386,0.0619047,0.0645411
10,6047.0709767,7626.3595843,0.0605930,0.0644902
11,5649.4526348,7933.7034115,0.0587282,0.0642470
12,5208.0917531,8417.3472975,0.0572397,0.0649301
13,4751.9132184,8717.3464580,0.0560749,0.0653215
14,2126.4193899,-1.0815489,0.0550169,0.0659107
15,-1.2174752,-1.0775719,0.0542557,0.0658342
16,-1.2259404,-1.0509002,0.0539244,0.0654129
17,-1.2343007,-1.0671507,0.0528346,0.0627201
18,-1.2210842,-1.0920252,0.0492327,0.0588821
19,-0.6246563,-1.1585555,0.0487569,0.0525974
20,-1.3077802,-1.1683689,0.0412539,0.0497992
21,-1.2007727,-1.0958047,0.0417877,0.0606047
22,-0.9362114,-0.8716351,0.0497359,0.0536094
23,-1.1195824,-1.2137798,0.0428353,0.0406066
24,-1.0967293,-1.1150553,0.0395332,0.0399648
25,-1.1001900,-1.1769245,0.0415458,0.0446333
26,-1.1805299,-1.2547984,0.0379666,0.0390418
27,-1.1485759,-1.0056478,0.0360328,0.0514892
28,-1.2404050,-1.2536669,0.0388995,0.0370421
29,-1.1185511,-1.1921041,0.0403324,0.0444766
30,-1.2142979,-1.2389727,0.0372004,0.0378360
31,-1.1370958,-1.2656006,0.0395886,0.0364666
32,-1.1238308,-1.0625155,0.0367836,0.0383119
33,-1.1548622,-1.2781632,0.0366876,0.0368604
34,-1.2160856,-1.2759879,0.0354737,0.0405209
35,-1.2297032,-1.3443947,0.0361738,0.0334944
36,-1.3009111,-1.3288077,0.0340355,0.0301245
37,-1.2487408,-1.3288134,0.0315186,0.0319087
38,-1.1733054,-0.8367583,0.0327542,0.0316050
39,-1.3080194,-1.3999739,0.0306670,0.0287457
40,-1.2787046,-1.3071085,0.0310925,0.0289275
41,-1.3022873,-1.2983421,0.0330540,0.0328858
42,-1.2255034,-1.3000512,0.0326618,0.0328073
43,-1.1764775,-1.2216198,0.0338908,0.0292703
44,-1.1623412,-1.2155764,0.0399890,0.0418418
45,-1.2795704,-1.3012607,0.0362091,0.0332098
46,-1.2627989,-1.2812932,0.0316337,0.0388687
47,-1.1529280,-0.7323921,0.0346215,0.0365677
48,-1.2485130,-1.3404878,0.0338004,0.0327988
49,-1.3350177,-1.2811091,0.0311055,0.0373926
50,-1.0910164,-1.3160947,0.0366434,0.0311362
51,-1.3082977,-1.2707444,0.0333762,0.0318260
52,-1.3060487,-1.3390048,0.0309023,0.0294629
53,-1.1768996,-1.2625478,0.0356992,0.0358535
54,0.3178159,-1.2207613,0.0349549,0.0438314
55,-1.3042930,-1.2405076,0.0344654,0.0411832
56,-1.2586302,-1.2978531,0.0354575,0.0348656
57,-1.2595782,-1.2122777,0.0353745,0.0404042
58,-1.2754164,-1.2647957,0.0341930,0.0336309
59,-1.2374171,-1.2865500,0.0352186,0.0363275
60,-1.2132953,-1.3702620,0.0455853,0.0319661
61,-1.2218345,-1.2853130,0.0363770,0.0359498
62,-1.2317687,-1.2868716,0.0349694,0.0367475
63,-1.2097141,-1.2070612,0.0338124,0.0517257
64,-1.2310907,-1.2372796,0.0340054,0.0422504
65,-0.6937068,-1.3336236,0.0324070,0.0294412
66,-1.3566478,-1.3224757,0.0342137,0.0298753
67,-1.2687811,-1.3090250,0.0311549,0.0347142
68,-1.3866565,-1.4024092,0.0315826,0.0289173
69,-1.2624078,-1.3905050,0.0328833,0.0302686
70,-1.3416094,-1.3166977,0.0297069,0.0383838
71,-1.3297760,-1.2650397,0.0331049,0.0370608
72,-1.2321716,-1.3199058,0.0372902,0.0329334
73,-1.2900356,-1.0286855,0.0348392,0.0331969
74,-1.1628997,-1.2434355,0.0348181,0.0438299
75,-1.2297107,-1.3176315,0.0318726,0.0328239
76,-1.2717248,-1.1623792,0.0321603,0.0357406
77,-1.2092740,-1.1266481,0.0341830,0.0371615
78,1.9118541,-1.2566473,0.0420623,0.0347471
79,-1.2566132,-1.2377688,0.0321026,0.0381977
80,-1.3393666,-1.3842929,0.0339774,0.0308908
81,-1.3683763,-1.3343186,0.0281141,0.0304470
82,-1.1184356,-1.1847254,0.0375401,0.0367058
83,-1.0836902,-1.2031354,0.0303916,0.0350787
84,-1.2611778,-1.3306042,0.0292626,0.0288214
85,-1.3376873,-1.2576516,0.0283800,0.0336223
86,-1.2773483,-1.2657679,0.0314476,0.0331141
87,-1.0418155,-1.0249372,0.0314985,0.0288815
88,-1.2211358,-1.2177406,0.0325415,0.0347504
89,-1.2809628,-1.2191923,0.0307344,0.0324486
90,-1.2321844,-1.2213143,0.0324535,0.0483231
91,12.0456319,-1.0914593,0.0320069,0.0408558
92,-1.1742997,-1.1246568,0.0307336,0.0297513
