Epoch,Train Loss,Val Loss,MSE Train,MSE Val
1,1848.7830057,-0.6334928,0.2174073,0.2306050
2,-0.7443251,-0.8633495,0.1853932,0.1369672
3,-0.7531077,-0.9324993,0.0989285,0.0607160
4,-1.1316927,-1.1179750,0.0374061,0.0257316
5,-0.9245759,-1.0148971,0.0403727,0.0379670
6,-0.8288678,-0.9351357,0.0613655,0.0472339
7,-0.3250901,-0.3971286,0.1075883,0.0751906
8,-0.7277980,-0.8473571,0.1213755,0.0607979
9,5.1883785,0.1383354,3.8616309,0.3457310
10,1.6999125,0.6998765,35.7888812,5.0424391
11,0.6735091,1.6423607,1.9551203,18.0339019
12,0.9016553,0.2641078,8.8879628,2.4163133
13,0.1380043,-0.3170011,1.4245179,0.6463990
14,6.0158232,0.5854558,3.3986925,1.1954810
15,0.4249048,0.1215447,0.4680252,0.2293710
16,1.0978510,0.1567967,2.1607716,0.1529655
17,1.5313881,0.2007378,7.2682459,0.3965925
18,0.9276175,0.8859773,5.5639814,2.2064929
19,1.3823605,0.5710418,3.5839538,0.2694963
20,3.4215711,1.0542967,12.2514805,2.4780420
21,1.6885650,1.0502618,5.2898011,4.0563461
22,4.2764949,0.0698038,0.9627602,0.1305227
23,0.0188050,0.2189671,0.1480080,0.4159315
24,-0.1414688,-0.3164850,0.1509252,0.0614808
25,3.2162056,0.6383564,1.4094293,1.3896485
26,2.6719653,0.6661560,4.7325772,2.2078189
27,3.7926082,0.5892605,2.8099050,0.4338841
28,73.7690729,2.6721389,12.2425710,54.8273453
29,1.6438071,1.0701013,13.9456374,4.2724746
30,44.2588928,2.7931955,79.1260841,71.0502337
31,184.7065807,5.5212503,56.4825460,179.3922357
32,3.5498237,2.8284362,112.6574600,71.8727172
33,3.5011249,2.7773307,87.5051956,88.2453449
34,2.2319184,1.7621330,57.5166891,30.7488781
35,30.3652705,2.4286933,44.3569868,48.1415927
36,1.9966181,1.5332599,29.2731853,15.5417544
37,1.7189022,1.0819863,11.0426136,7.4892786
38,1.6120462,1.1310475,9.3969039,5.2288349
39,1.9789132,1.8500729,17.4966626,35.7245469
40,1.4302883,1.2921090,12.1825667,10.1342983
41,15.1353713,1.8661012,33.8932766,50.3798699
42,126.4344537,2.7903048,98.2098113,95.6249028
43,2.8188768,2.1645948,79.4873458,62.2180662
44,3.5727931,2.6503527,112.4565662,130.7695309
45,3.2031904,2.0288498,108.7499708,40.3034250
46,42.3930075,2.0414958,283.6451376,51.4594943
47,13.7725617,5.4625658,598.0318098,767.1029302
48,55.0850649,7.1590405,740.9410033,1777.7596822
49,5.0555899,2.1753602,1035.2035744,43.8168644
50,3.2511235,2.2903095,213.8261314,19.3639286
51,3.9995679,4.5861931,300.1990001,602.6743276
52,5.5716980,8.4651943,1044.5448257,2169.6310767
53,6.1734656,2.2804299,534.1256424,37.8526249
54,28.4989860,4.2257084,213.8535995,917.6229606
55,13.7502535,4.9692245,1344.9756630,1369.3854738
56,1227.2933807,12.3640888,2302.7562164,11159.0830527
57,8.8390530,6.9439575,9250.2899963,7842.2247688
58,5.7603320,4.5976863,6646.9964836,5465.6028804
59,5282.3107408,8.1278853,4770.2587314,4099.9173945
60,6.7545558,4.4005188,2695.7292159,2093.4959057
61,9.0537894,7.7816915,3026.8415119,3935.2449054
62,6.0531270,4.2925701,2966.9511342,1633.4616213
63,5.6223421,4.8386617,1992.9998064,2008.4214135
64,11.8143895,6.4344912,4597.7400488,5261.7887611
65,5.2009211,3.8860397,3829.8287662,1669.2163117
66,6.9079634,4.3098697,2027.3120852,1239.3019970
67,4.1689142,6.4243298,409.0716365,2032.7377083
68,13.9377814,3.8351300,2478.1180740,1204.9878690
69,11.3028159,4.8718604,1599.9384127,2220.0302990
70,18.6616414,6.7443684,3712.9025489,10137.0610053
71,31.8872814,16.3340757,5135.8728484,9878.4785356
72,7.2244401,4.1298100,2406.4389483,1918.0038651
73,10.2405364,8.5899855,8930.4897862,19742.1459762
74,5.3149165,3.5096466,8350.8515246,44.1983807
75,1454704.1697796,12246.3923390,5797.8650104,4.1946158
76,3276.7882934,1759.7872956,4.0306892,4.0450369
77,1513.0228670,1337.8402940,3.9057797,3.9216311
78,1295.0219787,1226.5139577,3.8077423,3.8124928
79,1233.5913382,1194.4151711,3.4869259,3.3882111
80,1212.4172426,1180.4091545,3.2577568,3.1569678
81,1208.9756470,1165.6601413,2.8686421,2.7250338
82,1209.9246301,1169.5638204,2.3703058,1.9940302
83,1214.7754863,1170.8602419,1.3433379,0.6879543
84,1313.0309945,1167.5504577,0.4760749,0.4723987
85,1214.1249133,1175.5817454,0.3932819,0.3466508
86,1447.4005512,1191.8777983,0.4142474,1.4954878
87,1194.6788011,1151.9666094,1.2326885,1.0083348
88,1190.2578205,1190.0544094,0.7424680,0.5194435
89,1190.2464013,1157.1204731,0.3272961,0.1826106
90,1183.7295836,1164.2526669,0.1151707,0.0668580
91,724.9343346,0.3008967,0.0822791,0.1123404
92,0.6431974,-0.1579356,0.0803341,0.0550923
93,0.7902737,-0.3116678,0.0449605,0.0487280
94,3.9497312,-0.0798974,0.0640432,0.0870701
95,1.3473032,0.1368661,0.0852443,0.1636032
96,5.2300789,5.6133179,0.1100286,0.0371439
97,0.1469288,15.6012334,0.0380679,0.0322513
98,0.9848574,-0.1224868,0.1151568,0.1337946
99,0.0357875,-0.4819970,0.1090959,0.0873120
100,0.6145557,-0.1834371,0.0633876,0.0920916
101,-0.5128920,-0.6464054,0.0719076,0.0643689
102,-0.7031679,1.2592024,0.0532303,0.0479094
