Epoch,Train Loss,Val Loss
1,164.336111053,11.223070938
2,20.390407140,9.883263208
3,16.380542813,12.200142549
4,14.657438756,16.316634704
5,12.394932749,9.793186343
6,13.085008668,12.621743859
7,12.581285172,7.812838058
8,11.024215920,12.111826532
9,10.376269215,18.110039380
10,10.308717281,13.259078036
11,6.387266552,8.367490965
12,6.683089795,7.374716438
13,6.971750911,6.773970794
14,6.991849801,8.613699103
15,6.988876087,7.856156887
16,6.738104133,7.396774995
17,6.839490571,6.192282394
18,6.732600305,7.707952383
19,6.764682009,6.577954910
20,6.491073386,7.337129746
21,6.421870988,13.793794583
22,6.287833908,7.085951326
23,6.410363275,9.237913467
24,6.175980938,5.290356879
25,6.297929250,6.753980381
26,5.193153548,5.172763866
27,5.333135973,5.532223940
28,5.373993697,5.214512411
29,5.326982847,6.635936214
30,5.352807644,5.401267383
31,5.360447240,6.520518174
32,5.306573944,5.413438933
33,5.276224446,4.973625217
34,5.236524818,5.349117379
35,5.204132934,5.167860829
36,5.274701909,6.219146118
37,5.205024575,5.297294442
38,5.182252257,5.471223902
39,5.309573761,4.846562534
40,5.174608080,7.216264936
41,4.767800904,4.605728169
42,4.823527910,5.934961411
43,4.827726958,4.842659661
44,4.814447943,4.787354507
45,4.843209657,4.645936607
46,4.790349712,5.331459067
47,4.834024663,5.125889506
48,4.835888345,5.122695137
49,4.793756394,4.888330340
50,4.835905582,4.739001022
51,4.769780349,5.013567367
52,4.753211861,5.338992007
53,4.833148350,4.771215186
54,4.782500144,4.757018435
55,4.732293486,4.586687749
56,4.776282126,5.166973374
57,4.801518978,4.784925107
58,4.752634247,5.260213694
59,4.768360985,4.927622571
60,4.753596010,5.122030470
